iata,beach,mountain,culture,business,adventure,nightlife,food,nature,budget,luxury
GKA,1,0,0,0,0,0,1,1,0,0
MAG,1,0,0,0,0,0,1,1,0,0
HGU,1,0,0,0,0,0,1,1,0,0
LAE,1,0,0,0,0,0,1,1,0,0
POM,1,0,1,1,0,1,1,1,0,0
WWK,1,0,1,1,0,1,1,1,0,0
UAK,0,0,1,0,1,0,0,1,0,0
GOH,0,0,1,0,1,0,0,1,0,0
SFJ,0,0,1,0,1,0,0,1,0,0
THU,0,0,1,0,1,0,0,1,0,0
AEY,1,0,1,0,1,0,0,1,0,0
EGS,1,0,1,0,1,0,0,1,0,0
HFN,1,0,1,0,1,0,0,1,0,0
HZK,1,0,1,0,1,0,0,1,0,0
IFJ,1,0,1,0,1,0,0,1,0,0
KEF,1,0,1,1,1,1,1,1,0,0
PFJ,1,0,1,0,1,0,0,1,0,0
RKV,1,0,1,0,1,0,0,1,0,0
SIJ,1,0,1,0,1,0,0,1,0,0
VEY,1,0,1,0,1,0,0,1,0,0
YAM,0,0,0,0,1,0,0,1,1,0
YAY,0,0,0,0,1,0,0,1,1,0
YAZ,1,0,0,0,0,0,0,0,0,0
YBB,1,0,1,0,1,0,0,1,0,0
YBC,0,0,0,0,1,0,0,1,1,0
YBG,0,0,0,0,1,0,0,1,1,0
YBK,0,0,1,0,1,0,0,1,0,0
YBL,0,0,0,0,1,0,0,1,1,0
YBR,0,0,0,0,1,0,0,1,1,0
YCB,1,0,1,0,1,0,0,1,0,0
YCD,0,0,0,0,1,0,0,1,1,0
YCG,0,0,0,0,1,0,0,1,1,0
YCH,0,0,0,0,1,0,0,1,1,0
YCL,0,0,0,0,1,0,0,1,1,0
YCO,0,0,1,0,1,0,0,1,0,0
YCT,0,0,0,0,1,0,0,1,1,0
YCW,0,0,0,0,1,0,0,1,1,0
YCY,0,0,1,0,1,0,0,1,0,0
YZS,0,0,1,0,1,0,0,1,0,0
YDA,0,0,1,1,1,1,1,1,0,0
YDB,0,0,1,0,1,0,0,1,0,0
YDF,0,0,0,0,1,0,0,1,1,0
YDL,0,0,0,0,1,0,0,1,1,0
YDN,0,0,0,0,1,0,0,1,1,0
YDQ,0,0,0,0,1,0,0,1,1,0
YEG,0,1,1,1,0,1,1,0,0,0
YEK,0,0,1,0,1,0,0,1,0,0
YEN,0,0,0,0,1,0,0,1,1,0
YET,0,0,0,0,1,0,0,1,1,0
YEU,0,0,1,0,1,0,0,1,0,0
YEV,0,0,1,0,1,0,0,1,0,0
YFB,0,0,1,0,1,0,0,1,0,0
YFC,0,0,0,0,1,0,0,1,1,0
YFE,0,0,0,0,0,0,0,1,0,0
YFO,0,0,0,0,1,0,0,1,1,0
YFR,0,0,1,0,1,0,0,1,0,0
YFS,0,0,1,0,1,0,0,1,0,0
YGK,0,0,0,0,1,0,0,1,1,0
YGL,0,0,0,0,1,0,0,1,1,0
YGP,0,0,0,0,1,0,0,1,1,0
YGQ,0,0,0,0,1,0,0,1,1,0
YGR,0,0,0,0,1,0,0,1,1,0
YHB,1,0,0,0,0,0,0,0,0,0
YHD,0,0,0,0,1,0,0,1,1,0
YHI,1,0,1,0,1,0,0,1,0,0
YHK,0,0,1,0,1,0,0,1,0,0
YHM,0,0,1,1,0,1,1,0,0,0
YHU,0,1,0,0,0,0,0,0,0,0
YHY,0,0,1,0,1,0,0,1,0,0
YHZ,0,0,1,1,0,1,1,0,0,0
YIB,0,0,0,0,1,0,0,1,1,0
YIO,0,0,1,0,1,0,0,1,0,0
YJN,0,0,0,0,1,0,0,1,1,0
YJT,0,0,0,0,1,0,0,1,1,0
YKA,0,0,0,0,1,0,0,1,1,0
YKF,0,0,0,0,1,0,0,1,1,0
YKL,0,0,0,0,1,0,0,1,1,0
YKY,0,0,0,0,1,0,0,1,1,0
YKZ,0,0,0,0,1,0,0,1,1,0
YLD,0,0,0,0,1,0,0,1,1,0
YLJ,0,0,0,0,1,0,0,1,1,0
YLL,0,0,0,0,1,0,0,1,1,0
YLT,0,0,1,0,1,0,0,1,0,0
YLW,0,0,1,1,0,1,1,0,0,0
YMA,0,0,1,0,1,0,0,1,0,0
YMJ,0,0,0,0,1,0,0,1,1,0
YMM,0,0,0,0,1,0,0,1,1,0
YMO,0,0,0,0,1,0,0,1,1,0
YMW,0,0,0,0,1,0,0,1,1,0
YMX,0,1,1,1,0,1,1,0,0,0
YNA,0,0,0,0,1,0,0,1,1,0
YND,0,0,0,0,1,0,0,1,1,0
YNM,0,0,0,0,1,0,0,1,1,0
YOC,0,0,1,0,1,0,0,1,0,0
YOD,0,0,0,0,1,0,0,1,1,0
YOJ,0,0,0,0,1,0,0,1,1,0
YOW,0,0,1,1,0,1,1,0,0,0
YPA,0,0,0,0,1,0,0,1,1,0
YPE,0,0,0,0,1,0,0,1,1,0
YPG,0,0,0,0,1,0,0,1,1,0
YPL,0,0,0,0,1,0,0,1,1,0
YPN,0,0,0,0,1,0,0,1,1,0
YPQ,0,0,0,0,1,0,0,1,1,0
YPR,0,0,0,0,1,0,0,1,1,0
YPY,0,0,0,0,1,0,0,1,1,0
YQA,0,0,0,0,1,0,0,1,1,0
YQB,0,0,1,1,0,1,1,0,0,0
YQF,0,0,0,0,1,0,0,1,1,0
YQG,0,0,0,0,1,0,0,1,1,0
YQH,0,0,1,0,1,0,0,1,0,0
YQK,0,0,0,0,1,0,0,1,1,0
YQL,0,0,0,0,1,0,0,1,1,0
YQM,0,0,1,1,0,1,1,0,0,0
YQQ,0,0,0,0,1,0,0,1,1,0
YQR,0,0,1,1,0,1,1,0,0,0
YQT,1,0,0,0,0,0,0,0,0,0
YQU,0,0,0,0,1,0,0,1,1,0
YQV,0,0,0,0,1,0,0,1,1,0
YQW,0,0,0,0,1,0,0,1,1,0
YQX,0,0,1,1,0,1,1,0,0,0
YQY,0,0,0,0,1,0,0,1,1,0
YQZ,0,0,0,0,1,0,0,1,1,0
YRB,1,0,1,0,1,0,0,1,0,0
YRI,0,0,0,0,1,0,0,1,1,0
YRJ,0,0,0,0,1,0,0,1,1,0
YRM,0,1,0,0,0,0,0,0,0,0
YRT,0,0,1,0,1,0,0,1,0,0
YSB,0,0,0,0,1,0,0,1,1,0
YSC,0,0,0,0,1,0,0,1,1,0
YSJ,0,0,0,0,1,0,0,1,1,0
YSM,0,0,1,0,1,0,0,1,0,0
YSR,0,0,1,0,1,0,0,1,0,0
YSU,0,0,0,0,1,0,0,1,1,0
YSY,0,0,1,0,1,0,0,1,0,0
YTE,0,0,1,0,1,0,0,1,0,0
YTH,0,0,0,0,1,0,0,1,1,0
YTR,0,0,0,0,1,0,0,1,1,0
YTS,0,0,0,0,1,0,0,1,1,0
YTZ,0,0,1,1,0,1,1,0,0,0
YUB,0,0,1,0,1,0,0,1,0,0
YUL,0,1,1,1,0,1,1,0,0,0
YUT,1,0,1,0,1,0,0,1,0,0
YUX,1,0,1,0,1,0,0,1,0,0
YUY,0,0,0,0,1,0,0,1,1,0
YVC,0,0,0,0,1,0,0,1,1,0
YVG,0,0,0,0,1,0,0,1,1,0
YVM,1,0,1,0,1,0,0,1,0,0
YVO,0,0,0,0,1,0,0,1,1,0
YVP,0,0,0,0,1,0,0,1,1,0
YVQ,0,0,1,0,1,0,0,1,0,0
YVR,0,0,1,1,0,1,1,0,0,0
YVT,0,0,0,0,1,0,0,1,1,0
YVV,0,0,0,0,1,0,0,1,1,0
YWA,0,0,0,0,1,0,0,1,1,0
YWG,0,0,1,1,0,1,1,0,0,0
YWK,0,0,0,0,1,0,0,1,1,0
YWL,0,0,0,0,1,0,0,1,1,0
YWY,0,0,1,0,1,0,0,1,0,0
YXC,0,0,1,1,0,1,1,0,0,0
YXD,0,1,1,1,0,1,1,0,0,0
YXE,0,0,1,1,0,1,1,0,0,0
YXH,0,0,0,0,1,0,0,1,1,0
YXJ,0,0,0,0,1,0,0,1,1,0
YXL,0,0,0,0,1,0,0,1,1,0
YXP,0,0,1,0,1,0,0,1,0,0
YXR,0,0,0,0,1,0,0,1,1,0
YXS,0,0,0,0,1,0,0,1,1,0
YXT,0,0,0,0,1,0,0,1,1,0
YXU,0,0,1,0,0,0,0,0,0,1
YXX,0,0,0,0,1,0,0,1,1,0
YXY,0,0,1,1,1,1,1,1,0,0
YYB,1,0,0,0,0,0,0,0,0,0
YYC,0,0,1,1,0,1,1,0,0,0
YYD,0,0,0,0,1,0,0,1,1,0
YYE,0,0,0,0,1,0,0,1,1,0
YYF,0,0,0,0,1,0,0,1,1,0
YYG,0,0,0,0,1,0,0,1,1,0
YYH,1,0,1,0,1,0,0,1,0,0
YYJ,0,0,1,1,0,1,1,0,0,0
YYL,0,0,0,0,1,0,0,1,1,0
YYN,0,0,0,0,1,0,0,1,1,0
YYQ,0,0,0,0,1,0,0,1,1,0
YYR,1,0,0,0,0,0,0,0,0,0
YYT,0,0,1,1,0,1,1,0,0,0
YYU,0,0,0,0,1,0,0,1,1,0
YYW,0,0,0,0,1,0,0,1,1,0
YYY,0,1,0,0,0,0,0,0,0,0
YYZ,0,0,1,1,0,1,1,0,0,0
YZD,0,0,0,0,1,0,0,1,1,0
YZE,1,0,0,0,0,0,0,0,0,0
YZF,0,0,1,0,1,0,0,1,0,0
YZH,0,0,0,0,1,0,0,1,1,0
YZP,0,0,0,0,1,0,0,1,1,0
YZR,0,0,0,0,1,0,0,1,1,0
YZT,0,0,0,0,1,0,0,1,1,0
YZU,0,0,0,0,1,0,0,1,1,0
